Acquirer ID;Ragione Sociale;Indirizzo sede legale;Comune sede legale;Provincia sede legale;CAP sede Legale;PEC;CF;PIVA;Nome Legale Rappresentante;Cognome Legale Rappresentante;CF Legale Rappresentante;Email Aziendale Legale rappresentante;Nome Amministratore;Cognome Amministratore;CF Amministratore;Email Aziendale Amministratore;IBAN
PAGOPA;Esercente test di performance22;Via prova 22;Comune prova 22;Provincia prova 22;ZIP PROVA 22;email1@prova.it;99990000022;99990000022;a22;v22;c22;s22;w22;d22;f22;e22;IT96I9900199001000000000022
PAGOPA;Esercente test di performance23;Via prova 23;Comune prova 23;Provincia prova 23;ZIP PROVA 23;email1@prova.it;99990000023;99990000023;a23;v23;c23;s23;w23;d23;f23;e23;IT96I9900199001000000000023
PAGOPA;Esercente test di performance24;Via prova 24;Comune prova 24;Provincia prova 24;ZIP PROVA 24;email1@prova.it;99990000024;99990000024;a24;v24;c24;s24;w24;d24;f24;e24;IT96I9900199001000000000024
PAGOPA;Esercente test di performance25;Via prova 25;Comune prova 25;Provincia prova 25;ZIP PROVA 25;email1@prova.it;99990000025;99990000025;a25;v25;c25;s25;w25;d25;f25;e25;IT96I9900199001000000000025
PAGOPA;Esercente test di performance26;Via prova 26;Comune prova 26;Provincia prova 26;ZIP PROVA 26;email1@prova.it;99990000026;99990000026;a26;v26;c26;s26;w26;d26;f26;e26;IT96I9900199001000000000026
PAGOPA;Esercente test di performance27;Via prova 27;Comune prova 27;Provincia prova 27;ZIP PROVA 27;email1@prova.it;99990000027;99990000027;a27;v27;c27;s27;w27;d27;f27;e27;IT96I9900199001000000000027
PAGOPA;Esercente test di performance28;Via prova 28;Comune prova 28;Provincia prova 28;ZIP PROVA 28;email1@prova.it;99990000028;99990000028;a28;v28;c28;s28;w28;d28;f28;e28;IT96I9900199001000000000028
PAGOPA;Esercente test di performance29;Via prova 29;Comune prova 29;Provincia prova 29;ZIP PROVA 29;email1@prova.it;99990000029;99990000029;a29;v29;c29;s29;w29;d29;f29;e29;IT96I9900199001000000000029
PAGOPA;Esercente test di performance30;Via prova 30;Comune prova 30;Provincia prova 30;ZIP PROVA 30;email1@prova.it;99990000030;99990000030;a30;v30;c30;s30;w30;d30;f30;e30;IT96I9900199001000000000030
PAGOPA;Esercente test di performance31;Via prova 31;Comune prova 31;Provincia prova 31;ZIP PROVA 31;email1@prova.it;99990000031;99990000031;a31;v31;c31;s31;w31;d31;f31;e31;IT96I9900199001000000000031
PAGOPA;Esercente test di performance32;Via prova 32;Comune prova 32;Provincia prova 32;ZIP PROVA 32;email1@prova.it;99990000032;99990000032;a32;v32;c32;s32;w32;d32;f32;e32;IT96I9900199001000000000032
PAGOPA;Esercente test di performance33;Via prova 33;Comune prova 33;Provincia prova 33;ZIP PROVA 33;email1@prova.it;99990000033;99990000033;a33;v33;c33;s33;w33;d33;f33;e33;IT96I9900199001000000000033
PAGOPA;Esercente test di performance34;Via prova 34;Comune prova 34;Provincia prova 34;ZIP PROVA 34;email1@prova.it;99990000034;99990000034;a34;v34;c34;s34;w34;d34;f34;e34;IT96I9900199001000000000034
PAGOPA;Esercente test di performance35;Via prova 35;Comune prova 35;Provincia prova 35;ZIP PROVA 35;email1@prova.it;99990000035;99990000035;a35;v35;c35;s35;w35;d35;f35;e35;IT96I9900199001000000000035
PAGOPA;Esercente test di performance36;Via prova 36;Comune prova 36;Provincia prova 36;ZIP PROVA 36;email1@prova.it;99990000036;99990000036;a36;v36;c36;s36;w36;d36;f36;e36;IT96I9900199001000000000036
PAGOPA;Esercente test di performance37;Via prova 37;Comune prova 37;Provincia prova 37;ZIP PROVA 37;email1@prova.it;99990000037;99990000037;a37;v37;c37;s37;w37;d37;f37;e37;IT96I9900199001000000000037
PAGOPA;Esercente test di performance38;Via prova 38;Comune prova 38;Provincia prova 38;ZIP PROVA 38;email1@prova.it;99990000038;99990000038;a38;v38;c38;s38;w38;d38;f38;e38;IT96I9900199001000000000038
PAGOPA;Esercente test di performance39;Via prova 39;Comune prova 39;Provincia prova 39;ZIP PROVA 39;email1@prova.it;99990000039;99990000039;a39;v39;c39;s39;w39;d39;f39;e39;IT96I9900199001000000000039
PAGOPA;Esercente test di performance40;Via prova 40;Comune prova 40;Provincia prova 40;ZIP PROVA 40;email1@prova.it;99990000040;99990000040;a40;v40;c40;s40;w40;d40;f40;e40;IT96I9900199001000000000040
PAGOPA;Esercente test di performance41;Via prova 41;Comune prova 41;Provincia prova 41;ZIP PROVA 41;email1@prova.it;99990000041;99990000041;a41;v41;c41;s41;w41;d41;f41;e41;IT96I9900199001000000000041
PAGOPA;Esercente test di performance42;Via prova 42;Comune prova 42;Provincia prova 42;ZIP PROVA 42;email1@prova.it;99990000042;99990000042;a42;v42;c42;s42;w42;d42;f42;e42;IT96I9900199001000000000042
PAGOPA;Esercente test di performance43;Via prova 43;Comune prova 43;Provincia prova 43;ZIP PROVA 43;email1@prova.it;99990000043;99990000043;a43;v43;c43;s43;w43;d43;f43;e43;IT96I9900199001000000000043
PAGOPA;Esercente test di performance44;Via prova 44;Comune prova 44;Provincia prova 44;ZIP PROVA 44;email1@prova.it;99990000044;99990000044;a44;v44;c44;s44;w44;d44;f44;e44;IT96I9900199001000000000044
PAGOPA;Esercente test di performance45;Via prova 45;Comune prova 45;Provincia prova 45;ZIP PROVA 45;email1@prova.it;99990000045;99990000045;a45;v45;c45;s45;w45;d45;f45;e45;IT96I9900199001000000000045
PAGOPA;Esercente test di performance46;Via prova 46;Comune prova 46;Provincia prova 46;ZIP PROVA 46;email1@prova.it;99990000046;99990000046;a46;v46;c46;s46;w46;d46;f46;e46;IT96I9900199001000000000046
PAGOPA;Esercente test di performance47;Via prova 47;Comune prova 47;Provincia prova 47;ZIP PROVA 47;email1@prova.it;99990000047;99990000047;a47;v47;c47;s47;w47;d47;f47;e47;IT96I9900199001000000000047
PAGOPA;Esercente test di performance48;Via prova 48;Comune prova 48;Provincia prova 48;ZIP PROVA 48;email1@prova.it;99990000048;99990000048;a48;v48;c48;s48;w48;d48;f48;e48;IT96I9900199001000000000048
PAGOPA;Esercente test di performance49;Via prova 49;Comune prova 49;Provincia prova 49;ZIP PROVA 49;email1@prova.it;99990000049;99990000049;a49;v49;c49;s49;w49;d49;f49;e49;IT96I9900199001000000000049
PAGOPA;Esercente test di performance50;Via prova 50;Comune prova 50;Provincia prova 50;ZIP PROVA 50;email1@prova.it;99990000050;99990000050;a50;v50;c50;s50;w50;d50;f50;e50;IT96I9900199001000000000050
PAGOPA;Esercente test di performance51;Via prova 51;Comune prova 51;Provincia prova 51;ZIP PROVA 51;email1@prova.it;99990000051;99990000051;a51;v51;c51;s51;w51;d51;f51;e51;IT96I9900199001000000000051
PAGOPA;Esercente test di performance52;Via prova 52;Comune prova 52;Provincia prova 52;ZIP PROVA 52;email1@prova.it;99990000052;99990000052;a52;v52;c52;s52;w52;d52;f52;e52;IT96I9900199001000000000052
PAGOPA;Esercente test di performance53;Via prova 53;Comune prova 53;Provincia prova 53;ZIP PROVA 53;email1@prova.it;99990000053;99990000053;a53;v53;c53;s53;w53;d53;f53;e53;IT96I9900199001000000000053
PAGOPA;Esercente test di performance54;Via prova 54;Comune prova 54;Provincia prova 54;ZIP PROVA 54;email1@prova.it;99990000054;99990000054;a54;v54;c54;s54;w54;d54;f54;e54;IT96I9900199001000000000054
PAGOPA;Esercente test di performance55;Via prova 55;Comune prova 55;Provincia prova 55;ZIP PROVA 55;email1@prova.it;99990000055;99990000055;a55;v55;c55;s55;w55;d55;f55;e55;IT96I9900199001000000000055
PAGOPA;Esercente test di performance56;Via prova 56;Comune prova 56;Provincia prova 56;ZIP PROVA 56;email1@prova.it;99990000056;99990000056;a56;v56;c56;s56;w56;d56;f56;e56;IT96I9900199001000000000056
PAGOPA;Esercente test di performance57;Via prova 57;Comune prova 57;Provincia prova 57;ZIP PROVA 57;email1@prova.it;99990000057;99990000057;a57;v57;c57;s57;w57;d57;f57;e57;IT96I9900199001000000000057
PAGOPA;Esercente test di performance58;Via prova 58;Comune prova 58;Provincia prova 58;ZIP PROVA 58;email1@prova.it;99990000058;99990000058;a58;v58;c58;s58;w58;d58;f58;e58;IT96I9900199001000000000058
PAGOPA;Esercente test di performance59;Via prova 59;Comune prova 59;Provincia prova 59;ZIP PROVA 59;email1@prova.it;99990000059;99990000059;a59;v59;c59;s59;w59;d59;f59;e59;IT96I9900199001000000000059
PAGOPA;Esercente test di performance60;Via prova 60;Comune prova 60;Provincia prova 60;ZIP PROVA 60;email1@prova.it;99990000060;99990000060;a60;v60;c60;s60;w60;d60;f60;e60;IT96I9900199001000000000060
PAGOPA;Esercente test di performance61;Via prova 61;Comune prova 61;Provincia prova 61;ZIP PROVA 61;email1@prova.it;99990000061;99990000061;a61;v61;c61;s61;w61;d61;f61;e61;IT96I9900199001000000000061
PAGOPA;Esercente test di performance62;Via prova 62;Comune prova 62;Provincia prova 62;ZIP PROVA 62;email1@prova.it;99990000062;99990000062;a62;v62;c62;s62;w62;d62;f62;e62;IT96I9900199001000000000062
PAGOPA;Esercente test di performance63;Via prova 63;Comune prova 63;Provincia prova 63;ZIP PROVA 63;email1@prova.it;99990000063;99990000063;a63;v63;c63;s63;w63;d63;f63;e63;IT96I9900199001000000000063
PAGOPA;Esercente test di performance64;Via prova 64;Comune prova 64;Provincia prova 64;ZIP PROVA 64;email1@prova.it;99990000064;99990000064;a64;v64;c64;s64;w64;d64;f64;e64;IT96I9900199001000000000064
PAGOPA;Esercente test di performance65;Via prova 65;Comune prova 65;Provincia prova 65;ZIP PROVA 65;email1@prova.it;99990000065;99990000065;a65;v65;c65;s65;w65;d65;f65;e65;IT96I9900199001000000000065
PAGOPA;Esercente test di performance66;Via prova 66;Comune prova 66;Provincia prova 66;ZIP PROVA 66;email1@prova.it;99990000066;99990000066;a66;v66;c66;s66;w66;d66;f66;e66;IT96I9900199001000000000066
PAGOPA;Esercente test di performance67;Via prova 67;Comune prova 67;Provincia prova 67;ZIP PROVA 67;email1@prova.it;99990000067;99990000067;a67;v67;c67;s67;w67;d67;f67;e67;IT96I9900199001000000000067
PAGOPA;Esercente test di performance68;Via prova 68;Comune prova 68;Provincia prova 68;ZIP PROVA 68;email1@prova.it;99990000068;99990000068;a68;v68;c68;s68;w68;d68;f68;e68;IT96I9900199001000000000068
PAGOPA;Esercente test di performance69;Via prova 69;Comune prova 69;Provincia prova 69;ZIP PROVA 69;email1@prova.it;99990000069;99990000069;a69;v69;c69;s69;w69;d69;f69;e69;IT96I9900199001000000000069
PAGOPA;Esercente test di performance70;Via prova 70;Comune prova 70;Provincia prova 70;ZIP PROVA 70;email1@prova.it;99990000070;99990000070;a70;v70;c70;s70;w70;d70;f70;e70;IT96I9900199001000000000070
PAGOPA;Esercente test di performance71;Via prova 71;Comune prova 71;Provincia prova 71;ZIP PROVA 71;email1@prova.it;99990000071;99990000071;a71;v71;c71;s71;w71;d71;f71;e71;IT96I9900199001000000000071
PAGOPA;Esercente test di performance72;Via prova 72;Comune prova 72;Provincia prova 72;ZIP PROVA 72;email1@prova.it;99990000072;99990000072;a72;v72;c72;s72;w72;d72;f72;e72;IT96I9900199001000000000072
PAGOPA;Esercente test di performance73;Via prova 73;Comune prova 73;Provincia prova 73;ZIP PROVA 73;email1@prova.it;99990000073;99990000073;a73;v73;c73;s73;w73;d73;f73;e73;IT96I9900199001000000000073
PAGOPA;Esercente test di performance74;Via prova 74;Comune prova 74;Provincia prova 74;ZIP PROVA 74;email1@prova.it;99990000074;99990000074;a74;v74;c74;s74;w74;d74;f74;e74;IT96I9900199001000000000074
PAGOPA;Esercente test di performance75;Via prova 75;Comune prova 75;Provincia prova 75;ZIP PROVA 75;email1@prova.it;99990000075;99990000075;a75;v75;c75;s75;w75;d75;f75;e75;IT96I9900199001000000000075
PAGOPA;Esercente test di performance76;Via prova 76;Comune prova 76;Provincia prova 76;ZIP PROVA 76;email1@prova.it;99990000076;99990000076;a76;v76;c76;s76;w76;d76;f76;e76;IT96I9900199001000000000076
PAGOPA;Esercente test di performance77;Via prova 77;Comune prova 77;Provincia prova 77;ZIP PROVA 77;email1@prova.it;99990000077;99990000077;a77;v77;c77;s77;w77;d77;f77;e77;IT96I9900199001000000000077
PAGOPA;Esercente test di performance78;Via prova 78;Comune prova 78;Provincia prova 78;ZIP PROVA 78;email1@prova.it;99990000078;99990000078;a78;v78;c78;s78;w78;d78;f78;e78;IT96I9900199001000000000078
PAGOPA;Esercente test di performance79;Via prova 79;Comune prova 79;Provincia prova 79;ZIP PROVA 79;email1@prova.it;99990000079;99990000079;a79;v79;c79;s79;w79;d79;f79;e79;IT96I9900199001000000000079
PAGOPA;Esercente test di performance80;Via prova 80;Comune prova 80;Provincia prova 80;ZIP PROVA 80;email1@prova.it;99990000080;99990000080;a80;v80;c80;s80;w80;d80;f80;e80;IT96I9900199001000000000080
PAGOPA;Esercente test di performance81;Via prova 81;Comune prova 81;Provincia prova 81;ZIP PROVA 81;email1@prova.it;99990000081;99990000081;a81;v81;c81;s81;w81;d81;f81;e81;IT96I9900199001000000000081
PAGOPA;Esercente test di performance82;Via prova 82;Comune prova 82;Provincia prova 82;ZIP PROVA 82;email1@prova.it;99990000082;99990000082;a82;v82;c82;s82;w82;d82;f82;e82;IT96I9900199001000000000082
PAGOPA;Esercente test di performance83;Via prova 83;Comune prova 83;Provincia prova 83;ZIP PROVA 83;email1@prova.it;99990000083;99990000083;a83;v83;c83;s83;w83;d83;f83;e83;IT96I9900199001000000000083
PAGOPA;Esercente test di performance84;Via prova 84;Comune prova 84;Provincia prova 84;ZIP PROVA 84;email1@prova.it;99990000084;99990000084;a84;v84;c84;s84;w84;d84;f84;e84;IT96I9900199001000000000084
PAGOPA;Esercente test di performance85;Via prova 85;Comune prova 85;Provincia prova 85;ZIP PROVA 85;email1@prova.it;99990000085;99990000085;a85;v85;c85;s85;w85;d85;f85;e85;IT96I9900199001000000000085
PAGOPA;Esercente test di performance86;Via prova 86;Comune prova 86;Provincia prova 86;ZIP PROVA 86;email1@prova.it;99990000086;99990000086;a86;v86;c86;s86;w86;d86;f86;e86;IT96I9900199001000000000086
PAGOPA;Esercente test di performance87;Via prova 87;Comune prova 87;Provincia prova 87;ZIP PROVA 87;email1@prova.it;99990000087;99990000087;a87;v87;c87;s87;w87;d87;f87;e87;IT96I9900199001000000000087
PAGOPA;Esercente test di performance88;Via prova 88;Comune prova 88;Provincia prova 88;ZIP PROVA 88;email1@prova.it;99990000088;99990000088;a88;v88;c88;s88;w88;d88;f88;e88;IT96I9900199001000000000088
PAGOPA;Esercente test di performance89;Via prova 89;Comune prova 89;Provincia prova 89;ZIP PROVA 89;email1@prova.it;99990000089;99990000089;a89;v89;c89;s89;w89;d89;f89;e89;IT96I9900199001000000000089
PAGOPA;Esercente test di performance90;Via prova 90;Comune prova 90;Provincia prova 90;ZIP PROVA 90;email1@prova.it;99990000090;99990000090;a90;v90;c90;s90;w90;d90;f90;e90;IT96I9900199001000000000090
PAGOPA;Esercente test di performance91;Via prova 91;Comune prova 91;Provincia prova 91;ZIP PROVA 91;email1@prova.it;99990000091;99990000091;a91;v91;c91;s91;w91;d91;f91;e91;IT96I9900199001000000000091
PAGOPA;Esercente test di performance92;Via prova 92;Comune prova 92;Provincia prova 92;ZIP PROVA 92;email1@prova.it;99990000092;99990000092;a92;v92;c92;s92;w92;d92;f92;e92;IT96I9900199001000000000092
PAGOPA;Esercente test di performance93;Via prova 93;Comune prova 93;Provincia prova 93;ZIP PROVA 93;email1@prova.it;99990000093;99990000093;a93;v93;c93;s93;w93;d93;f93;e93;IT96I9900199001000000000093
PAGOPA;Esercente test di performance94;Via prova 94;Comune prova 94;Provincia prova 94;ZIP PROVA 94;email1@prova.it;99990000094;99990000094;a94;v94;c94;s94;w94;d94;f94;e94;IT96I9900199001000000000094
PAGOPA;Esercente test di performance95;Via prova 95;Comune prova 95;Provincia prova 95;ZIP PROVA 95;email1@prova.it;99990000095;99990000095;a95;v95;c95;s95;w95;d95;f95;e95;IT96I9900199001000000000095
PAGOPA;Esercente test di performance96;Via prova 96;Comune prova 96;Provincia prova 96;ZIP PROVA 96;email1@prova.it;99990000096;99990000096;a96;v96;c96;s96;w96;d96;f96;e96;IT96I9900199001000000000096
PAGOPA;Esercente test di performance97;Via prova 97;Comune prova 97;Provincia prova 97;ZIP PROVA 97;email1@prova.it;99990000097;99990000097;a97;v97;c97;s97;w97;d97;f97;e97;IT96I9900199001000000000097
PAGOPA;Esercente test di performance98;Via prova 98;Comune prova 98;Provincia prova 98;ZIP PROVA 98;email1@prova.it;99990000098;99990000098;a98;v98;c98;s98;w98;d98;f98;e98;IT96I9900199001000000000098
PAGOPA;Esercente test di performance99;Via prova 99;Comune prova 99;Provincia prova 99;ZIP PROVA 99;email1@prova.it;99990000099;99990000099;a99;v99;c99;s99;w99;d99;f99;e99;IT96I9900199001000000000099
PAGOPA;Esercente test di performance100;Via prova 100;Comune prova 100;Provincia prova 100;ZIP PROVA 100;email1@prova.it;99990000100;99990000100;a100;v100;c100;s100;w100;d100;f100;e100;IT96I9900199001000000000100
PAGOPA;Esercente test di performance101;Via prova 101;Comune prova 101;Provincia prova 101;ZIP PROVA 101;email1@prova.it;99990000101;99990000101;a101;v101;c101;s101;w101;d101;f101;e101;IT96I9900199001000000000101
PAGOPA;Esercente test di performance102;Via prova 102;Comune prova 102;Provincia prova 102;ZIP PROVA 102;email1@prova.it;99990000102;99990000102;a102;v102;c102;s102;w102;d102;f102;e102;IT96I9900199001000000000102
PAGOPA;Esercente test di performance103;Via prova 103;Comune prova 103;Provincia prova 103;ZIP PROVA 103;email1@prova.it;99990000103;99990000103;a103;v103;c103;s103;w103;d103;f103;e103;IT96I9900199001000000000103
PAGOPA;Esercente test di performance104;Via prova 104;Comune prova 104;Provincia prova 104;ZIP PROVA 104;email1@prova.it;99990000104;99990000104;a104;v104;c104;s104;w104;d104;f104;e104;IT96I9900199001000000000104
PAGOPA;Esercente test di performance105;Via prova 105;Comune prova 105;Provincia prova 105;ZIP PROVA 105;email1@prova.it;99990000105;99990000105;a105;v105;c105;s105;w105;d105;f105;e105;IT96I9900199001000000000105
PAGOPA;Esercente test di performance106;Via prova 106;Comune prova 106;Provincia prova 106;ZIP PROVA 106;email1@prova.it;99990000106;99990000106;a106;v106;c106;s106;w106;d106;f106;e106;IT96I9900199001000000000106
PAGOPA;Esercente test di performance107;Via prova 107;Comune prova 107;Provincia prova 107;ZIP PROVA 107;email1@prova.it;99990000107;99990000107;a107;v107;c107;s107;w107;d107;f107;e107;IT96I9900199001000000000107
PAGOPA;Esercente test di performance108;Via prova 108;Comune prova 108;Provincia prova 108;ZIP PROVA 108;email1@prova.it;99990000108;99990000108;a108;v108;c108;s108;w108;d108;f108;e108;IT96I9900199001000000000108
PAGOPA;Esercente test di performance109;Via prova 109;Comune prova 109;Provincia prova 109;ZIP PROVA 109;email1@prova.it;99990000109;99990000109;a109;v109;c109;s109;w109;d109;f109;e109;IT96I9900199001000000000109
PAGOPA;Esercente test di performance110;Via prova 110;Comune prova 110;Provincia prova 110;ZIP PROVA 110;email1@prova.it;99990000110;99990000110;a110;v110;c110;s110;w110;d110;f110;e110;IT96I9900199001000000000110
PAGOPA;Esercente test di performance111;Via prova 111;Comune prova 111;Provincia prova 111;ZIP PROVA 111;email1@prova.it;99990000111;99990000111;a111;v111;c111;s111;w111;d111;f111;e111;IT96I9900199001000000000111
PAGOPA;Esercente test di performance112;Via prova 112;Comune prova 112;Provincia prova 112;ZIP PROVA 112;email1@prova.it;99990000112;99990000112;a112;v112;c112;s112;w112;d112;f112;e112;IT96I9900199001000000000112
PAGOPA;Esercente test di performance113;Via prova 113;Comune prova 113;Provincia prova 113;ZIP PROVA 113;email1@prova.it;99990000113;99990000113;a113;v113;c113;s113;w113;d113;f113;e113;IT96I9900199001000000000113
PAGOPA;Esercente test di performance114;Via prova 114;Comune prova 114;Provincia prova 114;ZIP PROVA 114;email1@prova.it;99990000114;99990000114;a114;v114;c114;s114;w114;d114;f114;e114;IT96I9900199001000000000114
PAGOPA;Esercente test di performance115;Via prova 115;Comune prova 115;Provincia prova 115;ZIP PROVA 115;email1@prova.it;99990000115;99990000115;a115;v115;c115;s115;w115;d115;f115;e115;IT96I9900199001000000000115
PAGOPA;Esercente test di performance116;Via prova 116;Comune prova 116;Provincia prova 116;ZIP PROVA 116;email1@prova.it;99990000116;99990000116;a116;v116;c116;s116;w116;d116;f116;e116;IT96I9900199001000000000116
PAGOPA;Esercente test di performance117;Via prova 117;Comune prova 117;Provincia prova 117;ZIP PROVA 117;email1@prova.it;99990000117;99990000117;a117;v117;c117;s117;w117;d117;f117;e117;IT96I9900199001000000000117
PAGOPA;Esercente test di performance118;Via prova 118;Comune prova 118;Provincia prova 118;ZIP PROVA 118;email1@prova.it;99990000118;99990000118;a118;v118;c118;s118;w118;d118;f118;e118;IT96I9900199001000000000118
PAGOPA;Esercente test di performance119;Via prova 119;Comune prova 119;Provincia prova 119;ZIP PROVA 119;email1@prova.it;99990000119;99990000119;a119;v119;c119;s119;w119;d119;f119;e119;IT96I9900199001000000000119
PAGOPA;Esercente test di performance120;Via prova 120;Comune prova 120;Provincia prova 120;ZIP PROVA 120;email1@prova.it;99990000120;99990000120;a120;v120;c120;s120;w120;d120;f120;e120;IT96I9900199001000000000120
PAGOPA;Esercente test di performance121;Via prova 121;Comune prova 121;Provincia prova 121;ZIP PROVA 121;email1@prova.it;99990000121;99990000121;a121;v121;c121;s121;w121;d121;f121;e121;IT96I9900199001000000000121
PAGOPA;Esercente test di performance122;Via prova 122;Comune prova 122;Provincia prova 122;ZIP PROVA 122;email1@prova.it;99990000122;99990000122;a122;v122;c122;s122;w122;d122;f122;e122;IT96I9900199001000000000122
PAGOPA;Esercente test di performance123;Via prova 123;Comune prova 123;Provincia prova 123;ZIP PROVA 123;email1@prova.it;99990000123;99990000123;a123;v123;c123;s123;w123;d123;f123;e123;IT96I9900199001000000000123
PAGOPA;Esercente test di performance124;Via prova 124;Comune prova 124;Provincia prova 124;ZIP PROVA 124;email1@prova.it;99990000124;99990000124;a124;v124;c124;s124;w124;d124;f124;e124;IT96I9900199001000000000124
PAGOPA;Esercente test di performance125;Via prova 125;Comune prova 125;Provincia prova 125;ZIP PROVA 125;email1@prova.it;99990000125;99990000125;a125;v125;c125;s125;w125;d125;f125;e125;IT96I9900199001000000000125
PAGOPA;Esercente test di performance126;Via prova 126;Comune prova 126;Provincia prova 126;ZIP PROVA 126;email1@prova.it;99990000126;99990000126;a126;v126;c126;s126;w126;d126;f126;e126;IT96I9900199001000000000126
